Latitude, Longitude, Date and Time, Heading (Returns heading in degrees * 10^-5), Ground Speed (mm/s), and Altitude (Returns the current altitude in mm above mean sea level).
42.3508141,-71.1109251,2023-2-27 11:47:12,8086078,1324,6382
42.3508168,-71.1108864,2023-2-27 11:47:14,8311701,1753,6589
42.3508167,-71.1108299,2023-2-27 11:47:17,9239114,1474,7018
42.3508147,-71.1107908,2023-2-27 11:47:19,9864246,1543,7152
42.3508070,-71.1107533,2023-2-27 11:47:21,10519470,1639,7063
42.3507915,-71.1106997,2023-2-27 11:47:24,10867038,1868,6286
42.3507778,-71.1106335,2023-2-27 11:47:27,10155852,1614,6296
42.3507708,-71.1105893,2023-2-27 11:47:29,10179540,1790,6237
42.3507654,-71.1105289,2023-2-27 11:47:32,9756406,1524,5951
42.3507603,-71.1104946,2023-2-27 11:47:34,9944286,1396,5379
42.3507518,-71.1104397,2023-2-27 11:47:37,9839966,1452,5192
42.3507482,-71.1103994,2023-2-27 11:47:39,9692610,1613,5505
42.3507389,-71.1103354,2023-2-27 11:47:42,9962254,1719,6133
42.3507325,-71.1102951,2023-2-27 11:47:44,9897758,1537,6323
42.3507226,-71.1102372,2023-2-27 11:47:47,10356290,1531,6156
42.3507117,-71.1101995,2023-2-27 11:47:49,10992170,1622,6082
42.3506995,-71.1101373,2023-2-27 11:47:52,10124308,1529,6012
42.3506950,-71.1100967,2023-2-27 11:47:54,9862516,1735,6058
42.3506861,-71.1100339,2023-2-27 11:47:57,9546800,1686,6345
42.3506777,-71.1099947,2023-2-27 11:47:59,10528250,1782,6177
42.3506625,-71.1099338,2023-2-27 11:48:2,10641446,1382,6300
42.3506585,-71.1099030,2023-2-27 11:48:4,9762594,1244,5675
42.3506505,-71.1098529,2023-2-27 11:48:7,10874706,1598,5423
42.3506489,-71.1098170,2023-2-27 11:48:9,9137204,1571,5386
42.3506484,-71.1097626,2023-2-27 11:48:12,9087012,1163,5112
42.3506397,-71.1097241,2023-2-27 11:48:14,10793382,1780,5213
42.3506240,-71.1096732,2023-2-27 11:48:17,11241102,1341,4913
42.3506147,-71.1096405,2023-2-27 11:48:19,11024848,1378,4494
42.3506037,-71.1095972,2023-2-27 11:48:22,11816342,787,3469
42.3505963,-71.1095659,2023-2-27 11:48:24,10684358,1109,3596
42.3505952,-71.1095180,2023-2-27 11:48:27,8913664,1378,2772
42.3505780,-71.1094742,2023-2-27 11:48:30,12609130,929,2318
42.3505585,-71.1094500,2023-2-27 11:48:32,13857862,1535,2188
42.3505300,-71.1094325,2023-2-27 11:48:34,16537522,1560,2561
42.3504828,-71.1094235,2023-2-27 11:48:37,17679648,1630,3207
42.3504391,-71.1094103,2023-2-27 11:48:40,16563106,1612,3612
42.3504151,-71.1093978,2023-2-27 11:48:42,15886950,1183,3581
42.3503968,-71.1093782,2023-2-27 11:48:44,15064720,1432,3547
42.3503598,-71.1093424,2023-2-27 11:48:47,13864426,1606,3992
42.3503396,-71.1093004,2023-2-27 11:48:50,12047308,1373,3769
42.3503319,-71.1092711,2023-2-27 11:48:52,10891134,1330,3887
42.3503240,-71.1092331,2023-2-27 11:48:55,10482716,1020,3607
42.3503166,-71.1092266,2023-2-27 11:48:57,15823378,400,4008
42.3503107,-71.1092247,2023-2-27 11:49:0,18167316,311,4799
42.3502952,-71.1092262,2023-2-27 11:49:2,18113638,1573,4964
42.3502461,-71.1092199,2023-2-27 11:49:5,17230074,1701,5424
42.3502185,-71.1092085,2023-2-27 11:49:7,15709214,1529,5551
42.3501968,-71.1091838,2023-2-27 11:49:9,13054628,1564,5660
42.3501743,-71.1091399,2023-2-27 11:49:12,12266726,1514,5008
42.3501585,-71.1090915,2023-2-27 11:49:15,11510366,1602,5486
42.3501479,-71.1090567,2023-2-27 11:49:17,11005328,1253,5926
42.3501435,-71.1090250,2023-2-27 11:49:19,10047442,1172,5248
42.3501437,-71.1089797,2023-2-27 11:49:22,8892308,979,3979
42.3501375,-71.1089261,2023-2-27 11:49:25,10245076,1523,3117
42.3501297,-71.1088848,2023-2-27 11:49:27,10494736,1725,3174
42.3501215,-71.1088227,2023-2-27 11:49:30,9536748,1649,3442
42.3501169,-71.1087815,2023-2-27 11:49:32,9761840,1660,3694
42.3501092,-71.1087288,2023-2-27 11:49:35,10109394,1101,3220
42.3501059,-71.1086932,2023-2-27 11:49:37,9601946,1471,3026
42.3501000,-71.1086377,2023-2-27 11:49:40,9599088,1552,3267
42.3500951,-71.1085857,2023-2-27 11:49:43,9615086,1405,3616
42.3500873,-71.1085493,2023-2-27 11:49:45,10445138,1440,3487
42.3500786,-71.1084912,2023-2-27 11:49:48,10069402,1776,3365
42.3500717,-71.1084505,2023-2-27 11:49:50,10194028,1632,3306
42.3500625,-71.1083886,2023-2-27 11:49:53,10028196,1629,3210
42.3500556,-71.1083485,2023-2-27 11:49:55,10234378,1552,3334
42.3500506,-71.1082983,2023-2-27 11:49:58,9661072,1385,2521
42.3500468,-71.1082621,2023-2-27 11:50:0,9839494,1586,2351
42.3500392,-71.1082058,2023-2-27 11:50:3,9731940,1528,2748
